id,doctor_id,day_of_week,start_time,end_time,slot_minutes,is_active
avail_d420a063eba3,doc_2f2d123240f4,0,09:00,12:00,15,1
avail_f786b81c220e,doc_2f2d123240f4,1,08:00,11:00,10,1
avail_d8fd701eb25e,doc_2f2d123240f4,3,09:00,13:00,15,1
avail_ac715574d6c0,doc_2f2d123240f4,3,14:00,18:00,15,1
avail_8a2f17e61dde,doc_00169991de63,0,08:00,12:00,20,1
avail_2edc2034b6da,doc_00169991de63,0,14:00,16:00,20,1
avail_e7bc952cafcd,doc_00169991de63,1,08:00,11:00,15,1
avail_9578192b3111,doc_00169991de63,1,14:00,17:00,15,1
avail_d55d12f0a22d,doc_00169991de63,2,08:00,11:00,15,1
avail_25db6e883f9a,doc_00169991de63,2,15:00,18:00,15,1
avail_0cf3c2279358,doc_00169991de63,3,09:00,13:00,15,1
avail_1e7e9d3c87d1,doc_3054e302144b,0,08:00,11:00,10,1
avail_e788027ac8c5,doc_3054e302144b,0,14:00,17:00,10,1
avail_9472ee3d9bca,doc_3054e302144b,1,08:00,11:00,20,1
avail_4bc788e7afea,doc_3054e302144b,1,14:00,17:00,20,1
avail_3c66ee04b1e7,doc_3054e302144b,2,09:00,13:00,10,1
avail_823d21556a15,doc_3054e302144b,3,09:00,12:00,15,1
avail_b4ee162b53c8,doc_3054e302144b,3,15:00,18:00,15,1
avail_5ae364a05f09,doc_3054e302144b,5,09:00,12:00,10,1
avail_3f9d76187bfc,doc_3054e302144b,5,14:00,16:00,10,1
avail_d091dbb56045,doc_de11a62742a1,0,08:00,12:00,20,1
avail_a0629dd2e02d,doc_de11a62742a1,0,14:00,17:00,20,1
avail_0bc639a2f7d4,doc_de11a62742a1,2,08:00,11:00,20,1
avail_ecf378c5cd25,doc_de11a62742a1,2,15:00,18:00,20,1
avail_5ba73337a0da,doc_de11a62742a1,4,08:00,12:00,10,1
avail_d772ce83358a,doc_e32ce699acb7,0,08:00,12:00,20,1
avail_4532cd9ae581,doc_e32ce699acb7,1,08:00,11:00,10,1
avail_71e6421c1d7c,doc_e32ce699acb7,4,08:00,11:00,15,1
avail_4ccebc784070,doc_e32ce699acb7,4,14:00,17:00,15,1
avail_3c29377830cd,doc_e32ce699acb7,6,08:00,11:00,15,1
avail_3feb1f7b013f,doc_e32ce699acb7,6,14:00,17:00,15,1
avail_2cfed9b5329a,doc_e24bfe53fe37,0,08:00,11:00,20,1
avail_c9730af0f927,doc_e24bfe53fe37,4,09:00,12:00,15,1
avail_af6673ff4b3a,doc_e24bfe53fe37,4,14:00,17:00,15,1
avail_80be3a8922c6,doc_e24bfe53fe37,5,08:00,12:00,10,1
avail_f20026fd7c68,doc_e24bfe53fe37,5,15:00,18:00,10,1
avail_8a77fd9cdbb1,doc_e24bfe53fe37,6,09:00,12:00,10,1
avail_11aaa6f65dee,doc_e24bfe53fe37,6,14:00,17:00,10,1
avail_bdf030405223,doc_97ade2c336cc,0,09:00,12:00,20,1
avail_f148a8050061,doc_97ade2c336cc,1,09:00,12:00,10,1
avail_c51c3f8da5f4,doc_97ade2c336cc,1,15:00,19:00,10,1
avail_7e4603151471,doc_97ade2c336cc,3,09:00,13:00,20,1
avail_03640ddda185,doc_97ade2c336cc,4,08:00,12:00,20,1
avail_f43a75864d15,doc_97ade2c336cc,4,14:00,18:00,20,1
avail_c5bddbf94138,doc_97ade2c336cc,5,09:00,12:00,20,1
avail_4bd6a230e4c5,doc_7665a82cef9e,0,09:00,13:00,20,1
avail_f4592327bee5,doc_7665a82cef9e,0,14:00,16:00,20,1
avail_2357bb639a12,doc_7665a82cef9e,2,09:00,13:00,20,1
avail_c70da8ccbb27,doc_7665a82cef9e,3,08:00,12:00,15,1
avail_a32482e2d84c,doc_7665a82cef9e,3,14:00,17:00,15,1
avail_ff571dff2341,doc_7665a82cef9e,5,09:00,12:00,15,1
avail_89b17bc92249,doc_9d83cca623ae,0,08:00,12:00,10,1
avail_f5ad138ee114,doc_9d83cca623ae,1,08:00,11:00,10,1
avail_d966aa5bb1ad,doc_9d83cca623ae,1,15:00,19:00,10,1
avail_6625c3ab47d4,doc_9d83cca623ae,3,08:00,12:00,15,1
avail_16b6850a45fb,doc_1be52abb3c11,1,09:00,12:00,20,1
avail_c5f83c790cd9,doc_1be52abb3c11,1,14:00,17:00,20,1
avail_8a4a9154fda5,doc_1be52abb3c11,4,08:00,12:00,20,1
avail_4b2dfbc57c0b,doc_1be52abb3c11,4,15:00,18:00,20,1
avail_5f726cc0d9a7,doc_d7b7fa95bec3,1,08:00,12:00,15,1
avail_b0a0e7388a5a,doc_d7b7fa95bec3,1,15:00,17:00,15,1
avail_0002488e26b3,doc_d7b7fa95bec3,2,09:00,13:00,15,1
avail_c89a6c041c76,doc_d7b7fa95bec3,4,08:00,11:00,10,1
avail_dbc45da65561,doc_d7b7fa95bec3,4,14:00,18:00,10,1
avail_3366d56c963d,doc_f897ffcbfda0,0,09:00,13:00,10,1
avail_6c2568678816,doc_f897ffcbfda0,2,09:00,13:00,15,1
avail_1ee9f43e9089,doc_f897ffcbfda0,2,14:00,17:00,15,1
avail_dd034c4c9166,doc_f897ffcbfda0,4,08:00,12:00,15,1
avail_679d0c7465bf,doc_f897ffcbfda0,4,15:00,18:00,15,1
avail_930011cfc7d3,doc_f897ffcbfda0,5,09:00,12:00,15,1
avail_6dda7f8ce3b5,doc_49b90439d2b6,0,09:00,13:00,15,1
avail_02c94646a847,doc_49b90439d2b6,0,15:00,18:00,15,1
avail_c263bdff573e,doc_49b90439d2b6,1,08:00,12:00,10,1
avail_18e325401e52,doc_49b90439d2b6,2,08:00,12:00,10,1
avail_263a910a8502,doc_295d91e4115e,0,09:00,13:00,10,1
avail_4562667a8df4,doc_295d91e4115e,2,08:00,11:00,15,1
avail_70d7642bb0b8,doc_295d91e4115e,2,14:00,17:00,15,1
avail_432c1df31540,doc_295d91e4115e,5,09:00,13:00,20,1
avail_3dbcb9b1f732,doc_295d91e4115e,5,14:00,16:00,20,1
avail_fd80bb8e767e,doc_8e3731da16c5,1,08:00,12:00,15,1
avail_87334e75be72,doc_8e3731da16c5,2,09:00,12:00,15,1
avail_17bcf3410476,doc_8e3731da16c5,2,15:00,19:00,15,1
avail_e1c40d3e8961,doc_8e3731da16c5,4,09:00,13:00,15,1
avail_b8b0fb0edf74,doc_db3f59188e0b,1,09:00,12:00,15,1
avail_ebb7a69ddff6,doc_db3f59188e0b,2,09:00,13:00,20,1
avail_1e9cec8b5a4a,doc_db3f59188e0b,3,09:00,12:00,20,1
