id,token_number,appointment_id,hospital_id,department_id,doctor_id,issued_at,called_at,queue_position_at_issue,patients_ahead_at_issue
qtok_0738ed3494be,CAR-0001,appt_593a91baf45f,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-08 09:00:00,2026-06-08 09:23:00,1,1
qtok_9a868dab9742,CAR-0002,appt_e3935e21575d,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-08 09:45:00,2026-06-08 10:04:00,2,2
qtok_0a3ea67d2663,CAR-0003,appt_53485f9eb9d4,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-08 10:21:00,2026-06-08 10:44:00,3,3
qtok_03bbba9bc2f9,CAR-0004,appt_11d06ad150ff,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-08 10:31:00,2026-06-08 10:52:00,4,4
qtok_1fff9adc3664,CAR-0005,appt_1005bbab8c22,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-08 10:47:00,2026-06-08 11:16:00,5,4
qtok_4ccc77e5d7c2,CAR-0006,appt_594c2b802563,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-08 10:59:00,2026-06-08 11:37:00,6,4
qtok_ece743b91e7a,CAR-0007,appt_74919ec44cd5,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-08 11:15:00,2026-06-08 11:44:00,7,5
qtok_a0adb5d42cf9,CAR-0008,appt_03dae4543cee,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-08 11:36:00,2026-06-08 12:18:00,8,7
qtok_087ce51878b1,CAR-0009,appt_4c50a51da5a7,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-08 11:42:00,2026-06-08 12:28:00,9,9
qtok_90280fd70d42,CAR-0001,appt_7366b987baba,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-09 08:46:00,2026-06-09 09:07:00,1,0
qtok_b1dbdcc9fc87,CAR-0002,appt_60ac9417528a,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-09 09:20:00,2026-06-09 09:40:00,2,1
qtok_ae812ac307d3,CAR-0003,appt_56a1df6f469e,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-09 09:40:00,2026-06-09 10:01:00,3,3
qtok_819c1e11deaf,CAR-0004,appt_31d12d00f134,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-09 09:40:00,2026-06-09 10:17:00,4,4
qtok_3a82fbc66915,CAR-0005,appt_0f7237d432ba,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-09 10:23:00,2026-06-09 10:59:00,5,3
qtok_fac02f6d04bb,CAR-0006,appt_6cdbbc4d192b,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-09 10:17:00,2026-06-09 11:03:00,6,6
qtok_317a1cc8590e,CAR-0007,appt_5ca65095b873,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-09 10:30:00,2026-06-09 11:26:00,7,5
qtok_9d90f5e89ec5,CAR-0008,appt_6643cdc41ea9,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-09 10:41:00,2026-06-09 11:27:00,8,8
qtok_86727bf8ffbb,CAR-0009,appt_2292d9e075e9,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-09 11:04:00,2026-06-09 12:10:00,9,9
qtok_0c8d760e7b17,CAR-0001,appt_884cb86392d1,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-11 08:59:00,2026-06-11 09:08:00,1,0
qtok_4c20ab12e214,CAR-0003,appt_4b9f538b4389,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-11 10:13:00,2026-06-11 10:39:00,3,3
qtok_829befa58948,CAR-0004,appt_4794479b2efa,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-11 10:05:00,2026-06-11 10:30:00,4,4
qtok_98d1ca912ebd,CAR-0005,appt_1abfb6e54def,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-11 10:35:00,2026-06-11 11:09:00,5,5
qtok_f127321ca8ee,CAR-0007,appt_11ee643119d5,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-11 11:23:00,2026-06-11 12:04:00,7,7
qtok_e4f6c09593ef,CAR-0008,appt_ad9402fcdcef,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-11 11:44:00,2026-06-11 12:32:00,8,7
qtok_4507d3cb4316,CAR-0009,appt_f460bff0991f,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-11 11:47:00,2026-06-11 12:36:00,9,7
qtok_c38296901ec8,CAR-0001,appt_bf081cb65809,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-11 14:19:00,2026-06-11 14:36:00,1,0
qtok_86113b4dba9e,CAR-0002,appt_d8786886442d,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-11 15:15:00,2026-06-11 15:29:00,2,1
